id,sku,titulo,descripcion,categorias,marca,precio,precioAnterior,stock,disponible,imagenes
REL013,300358100,Reloj digital con brazalete de acero D-Logo New,"Reloj digital TOUS D-Logo New con brazalete de malla milanesa de acero. Funciones: hora, minutos, segundos, día, mes, día de la semana, cronógrafo 1/100 segundos y alarma. Impermeable a 3 ATM. Batería: 3V litio CR2016 / 1,69 gramos (litio 0,025 gramos). Cierre ajustable con seguridad.","TOUS, relojes, acero",TOUS,139,,1,sí,https://cloud-media.tous.com/medias/sys_master/images/heb/he8/12454200541214/1200Wx1200H_product_300358100-20230627180054/1200Wx1200H-product-300358100-20230627180054.jpg | https://cloud-media.tous.com/medias/sys_master/images/hfe/h11/12454202638366/1200Wx1200H_product_300358100_2-20230627180054/1200Wx1200H-product-300358100-2-20230627180054.jpg
REL014,200351021,Reloj digital con brazalete de acero D-Logo New,"Reloj digital TOUS D-Logo con brazalete de acero. Funciones: hora, minutos, segundos, día, mes, día de la semana, cronógrafo 1/100 segundos y alarma. Impermeable a 5 ATM.","TOUS, relojes, acero",TOUS,149,,1,sí,https://cloud-media.tous.com/medias/sys_master/images/ha1/h7b/11646571151390/product_200351021-20220922150021/product-200351021-20220922150021.jpg_1200Wx1200H | https://cloud-media.tous.com/medias/sys_master/images/heb/heb/13347327180830/1200Wx1200H_product_200351021_9-20240424130126/1200Wx1200H-product-200351021-9-20240424130126.jpg
REL015,200351092,Reloj smartwatch con correa de nylon y correa de silicona rosa palo T-Band,"Reloj smartwatch TOUS T-Band con doble correa intercambiable y caja de PC rosado. Correa de nylon con logo rapport en rosa sobre base negra y correa de silicona en color rosa palo con oso posicionado. Compatibilidad: Android 7.0 y iOS 12.0 o superior. Pantalla/LDC: táctil rectangular de 1,47 pulgadas TFT-DLC en color (Full Touch). Sistema operativo: RT OS. Conectividad: Bluetooth versión BLE 5.0. Memoria RAM: 128 kb, ROM Flash de 64 MB. Batería: 140 mAh, acumulador de batería 3.8V Litio/2,9 gr, recargable con cable magnético, 5-7 días en funcionamiento y 8-10 en reposo. Chipset: Realtek RTL8762CK y Frecuencia cardíaca: HRS 3300- ARM Cortex-M0 - 53MHz de velocidad. Impermeabilidad: IP68. Funciones: 5 Esferas TOUS y una puede ser intercambiada desde la TOUS WEAR APP, horas, minutos, mes, día, día de la semana, actividad diaria con contador de pasos, contador de calorías y distancia recorrida en millas o kilómetros, deportes (caminar, correr, senderismo, ciclismo, cinta/elíptica, yoga y basquetbol), frecuencia cardiaca, monitorización del sueño, presión sanguínea (aproximación), oxígeno en sangre (aproximación), notificaciones (llamadas, WhatsApp, email, SMS, Facebook, etc.), clima, función ovárica, cronógrafo 1/10 segundos, control música, encontrar móvil y control cámara. Cierre hebilla de aluminio.","TOUS, relojes, acero",TOUS,139,,1,sí,https://cloud-media.tous.com/medias/sys_master/images/h92/h16/12044187500574/product_200351092-20230206140045/product-200351092-20230206140045.jpg_1200Wx1200H | https://cloud-media.tous.com/medias/sys_master/images/h77/h45/12044191727646/product_200351092_3-20230206140045/product-200351092-3-20230206140045.jpg_1200Wx1200H
REL016,3000131400,Reloj digital con correa de silicona en color rosa y caja de acero TOUS B-Time,"Reloj digital TOUS B-Time con correa de silicona en color rosa y caja de acero inoxidable. Esfera: metálica / pantalla cristal líquido (LCD) con luz. Diámetro caja: 33,5mm x 33,5mm. Funciones: hora en 12 o 24 horas, minutos, segundos, día, mes i día de lasemana, señal horaria, cronógrafo 1/100 segundos, cuenta atrás y 5 alarmas. Impermeable a 3 ATM. Batería: 3V litio CR2025 / 2,5 gramos (litio 0,003 gramos). Cierre hebilla.","TOUS, relojes, acero",TOUS,129,,1,sí,https://cloud-media.tous.com/medias/sys_master/images/hde/h11/13024236011550/1200Wx1200H_product_3000131400-20240103100147/1200Wx1200H-product-3000131400-20240103100147.jpg | https://cloud-media.tous.com/medias/sys_master/images/h83/h8d/13024237584414/1200Wx1200H_product_3000131400_2-20240103100148/1200Wx1200H-product-3000131400-2-20240103100148.jpg
REL017,3000132160,Reloj analógico con brazalete de acero y caja de aluminio en color IPRG rosado TOUS S-Mesh Mirror,"Reloj analógico TOUS S-Mesh Mirror con brazalete de acero inoxidable y esfera en acero IPRG rosado. Esfera metal latón con efecto espejo. Dimensiones caja: 36 mm. Funciones: hora, minutos y segundos. Impermeable a 5 ATM. Batería: 1,55V Oxido de plata SR621SW / 0,25 gramos. Cristal: mineral facetado plano redondo. Movimiento analógico de cuarzo japonés. Cierre de malla milanesa con cierre de seguridad.","TOUS, relojes, acero",TOUS,189,,1,sí,https://cloud-media.tous.com/medias/sys_master/images/he2/h85/13024258097182/1200Wx1200H_product_3000132100-20240103100153/1200Wx1200H-product-3000132100-20240103100153.jpg | https://cloud-media.tous.com/medias/sys_master/images/hf2/hf2/13072186671134/1200Wx1200H_product_3000132100_2-20240118180140/1200Wx1200H-product-3000132100-2-20240118180140.jpg
REL018,300358060,Reloj analógico con acero IPRG rosa y brazalete de acero Karat Squared,"Reloj analógico TOUS Karat Squared de acero IPRG rosa con brazalete de acero 316L, dimensiones 32 x 40 mm y esfera de metal con cristales facetados en los índices. Funciones: hora y minutos. Impermeable a 3 ATM. Batería: 1,55V Oxido de plata SR626SW/0,3 gramos. Cristal mineral facetado plano cuadrado. Movimiento cuarzo japonés. Cierre de malla milanesa con seguridad.","TOUS, relojes, acero",TOUS,189,,1,sí,https://cloud-media.tous.com/medias/sys_master/images/h12/h2c/12492763562014/1200Wx1200H_product_300358060-20230712180037/1200Wx1200H-product-300358060-20230712180037.jpg | https://cloud-media.tous.com/medias/sys_master/images/h43/h41/12492764676126/515Wx515H_product_300358060_2-20230712180038/515Wx515H-product-300358060-2-20230712180038.jpg
REL019,3000135500,Reloj smartwatch con brazalete de acero IP iridiscente D-Connect,"La declinación inteligente de nuestro best-seller D-LOGO. Diferentes acabados que te ayudarán a crear tu total look más personal. Como novedad, presentamos el acabado iridiscente y esferas personalizables con tu Avatar.","TOUS, relojes, acero",TOUS,199,,1,sí,https://cloud-media.tous.com/medias/sys_master/images/hd1/hba/13620287078430/1200Wx1200H_product_3000135500-20240805140148/1200Wx1200H-product-3000135500-20240805140148.jpg | https://cloud-media.tous.com/medias/sys_master/images/h59/h47/13620288323614/515Wx515H_product_3000135500_2-20240805140148/515Wx515H-product-3000135500-2-20240805140148.jpg
REL020,900350400,Reloj analógico Heritage de acero IP dorado,Acero IP dorado,"TOUS, relojes, acero",TOUS,199,,1,sí,https://cloud-media.tous.com/medias/sys_master/images/h74/h02/13240661803038/515Wx515H_product_900350400-20240314180120/515Wx515H-product-900350400-20240314180120.jpg | https://cloud-media.tous.com/medias/sys_master/images/h03/hc6/13257985556510/1200Wx1200H_product_900350400_9-20240321172256/1200Wx1200H-product-900350400-9-20240321172256.jpg
REL021,300358200,Reloj analógico con brazalete de acero IP negro y acero IPRG rosa Icon Charms,"Reloj analógico TOUS Icon Charms con brazalete de acero IP negro y caja de acero IPRG rosa. Detalle oso y corazón en acero IRPG rosa en el brazalete de malla milanesa de IP negra. Diámetro: 29,5 mm y esfera de nácar negro. Funciones: hora y minutos. Impermeable a 5 ATM. Batería: 1,55V Oxido de plata SR621SW/0,3 gramos. Movimiento cuarzo japonés. Cierre de joyería.","TOUS, relojes, acero",TOUS,249,,1,sí,https://cloud-media.tous.com/medias/sys_master/images/hc7/hbf/13240546656286/515Wx515H_product_300358200-20240314180111/515Wx515H-product-300358200-20240314180111.jpg | https://cloud-media.tous.com/medias/sys_master/images/h39/h04/13240551571486/515Wx515H_product_300358200_2-20240314180112/515Wx515H-product-300358200-2-20240314180112.jpg
REL022,200351070,Reloj analógico con brazalete de acero y acero IPG dorado S-Band,"Marca mucho más que la hora con nuestro diseño de reloj analógico con brazalete de acero inoxidable, acero IPG dorado y esfera de metal, de la colección TOUS S-Band. Los relojes más ligeros y cosmopolitas que querrás llevar las 24 horas del día. ¡Será tuyo en cuestión de tiempo!","TOUS, relojes, acero",TOUS,199,,1,sí,https://cloud-media.tous.com/medias/sys_master/images/h6e/h03/12022536962078/product_200351070-20230130110025/product-200351070-20230130110025.jpg_1200Wx1200H | https://cloud-media.tous.com/medias/sys_master/images/h37/h90/12022543024158/product_200351070_2-20230130110025/product-200351070-2-20230130110025.jpg_1200Wx1200H
REL023,200351051,Reloj analógico con brazalete de acero IPG dorado Karat Squared,"Reloj analógico TOUS Karat Squared con brazalete de acero IPG dorado 316L, dimensiones 32 x 34 mm y esfera de metal con cristales facetados en los índices. Funciones: hora y minutos. Impermeable a 3 ATM. Batería: 1,55V Oxido de plata SR621SW/0,3 gramos. Movimiento cuarzo japonés. Cierre desplegable con pulsadores.","TOUS, relojes, acero",TOUS,229,,1,sí,https://cloud-media.tous.com/medias/sys_master/images/h7c/h80/12022388588574/product_200351051-20230130110022/product-200351051-20230130110022.jpg_515Wx515H | https://cloud-media.tous.com/medias/sys_master/images/h3c/h02/12022390423582/product_200351051_2-20230130110022/product-200351051-2-20230130110022.jpg_515Wx515H
REL024,3000140700,Reloj analógico bicolor con silueta oso y brazalete de acero T-Band Club,"Reloj analógico TOUS T-Band Club con brazalete de acero inoxidable y caja de acero dorado con la silueta de un oso en el interior. Diámetro caja: 26,5 mm x 44 mm. Esfera: nácar. Funciones: hora y minutos. Impermeable: 3 ATM. Brazalete: 16mm x 16mm x 87mm / 16mm x 16mm x 110mm. Cierre ajustable con cierre de seguridad.","TOUS, relojes, acero",TOUS,159,,1,sí,https://cloud-media.tous.com/medias/sys_master/images/h35/hfb/14488082808862/515Wx515H_product_3000140700-20250603110133/515Wx515H-product-3000140700-20250603110133.jpg | https://cloud-media.tous.com/medias/sys_master/images/h4a/h98/14151104528414/515Wx515H_product_3000140700_2-20250205110233/515Wx515H-product-3000140700-2-20250205110233.jpg
REL025,3000141500,"Reloj analógico con movimiento suizo, esfera de nácar y brazalete de eslabones de acero Tous Now Lady","Reloj analógico TOUS Now Lady con brazalete de acero inoxidable. Diámetro: 34,5 mm. Esfera: de nacar gris claro. Movimiento: analógico de cuarzo suizo. Cristal: zafiro redondo plano con recubrimiento antirreflejo. Centros de ejes: 5 rubies sintéticos. Funciones: hora, minutos y segundos. Impermeable a 10 ATM. Brazalete: 16mm x 16mm x 82mm. Cierre de mariposa con pulsadores.","TOUS, relojes, acero",TOUS,269,,1,sí,https://cloud-media.tous.com/medias/sys_master/images/he8/hce/14488216240158/515Wx515H_product_3000141500-20250603120147/515Wx515H-product-3000141500-20250603120147.jpg | https://cloud-media.tous.com/medias/sys_master/images/h5b/h09/14151299792926/515Wx515H_product_3000141500_2-20250205120220/515Wx515H-product-3000141500-2-20250205120220.jpg
