"Handle","Title","Body (HTML)","Vendor","Product Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Inventory Qty","Variant Price","Variant Compare At Price","Image Src"
"rel015","Reloj smartwatch con correa de nylon y correa de silicona rosa palo T-Band","<p>Reloj smartwatch TOUS T-Band con doble correa intercambiable y caja de PC rosado. Correa de nylon con logo rapport en rosa sobre base negra y correa de silicona en color rosa palo con oso posicionado. Compatibilidad: Android 7.0 y iOS 12.0 o superior. Pantalla/LDC: táctil rectangular de 1,47 pulgadas TFT-DLC en color (Full Touch). Sistema operativo: RT OS. Conectividad: Bluetooth versión BLE 5.0. Memoria RAM: 128 kb, ROM Flash de 64 MB. Batería: 140 mAh, acumulador de batería 3.8V Litio/2,9 gr, recargable con cable magnético, 5-7 días en funcionamiento y 8-10 en reposo. Chipset: Realtek RTL8762CK y Frecuencia cardíaca: HRS 3300- ARM Cortex-M0 - 53MHz de velocidad. Impermeabilidad: IP68. Funciones: 5 Esferas TOUS y una puede ser intercambiada desde la TOUS WEAR APP, horas, minutos, mes, día, día de la semana, actividad diaria con contador de pasos, contador de calorías y distancia recorrida en millas o kilómetros, deportes (caminar, correr, senderismo, ciclismo, cinta/elíptica, yoga y basquetbol), frecuencia cardiaca, monitorización del sueño, presión sanguínea (aproximación), oxígeno en sangre (aproximación), notificaciones (llamadas, WhatsApp, email, SMS, Facebook, etc.), clima, función ovárica, cronógrafo 1/10 segundos, control música, encontrar móvil y control cámara. Cierre hebilla de aluminio.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","200351092","1","125","139","https://cloud-media.tous.com/medias/sys_master/images/h77/h45/12044191727646/product_200351092_3-20230206140045/product-200351092-3-20230206140045.jpg_1200Wx1200H"
"rel016","Reloj digital con correa de silicona en color rosa y caja de acero TOUS B-Time","<p>Reloj digital TOUS B-Time con correa de silicona en color rosa y caja de acero inoxidable. Esfera: metálica / pantalla cristal líquido (LCD) con luz. Diámetro caja: 33,5mm x 33,5mm. Funciones: hora en 12 o 24 horas, minutos, segundos, día, mes i día de lasemana, señal horaria, cronógrafo 1/100 segundos, cuenta atrás y 5 alarmas. Impermeable a 3 ATM. Batería: 3V litio CR2025 / 2,5 gramos (litio 0,003 gramos). Cierre hebilla.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000131400","1","116","129","https://cloud-media.tous.com/medias/sys_master/images/hde/h11/13024236011550/1200Wx1200H_product_3000131400-20240103100147/1200Wx1200H-product-3000131400-20240103100147.jpg"
"rel016","Reloj digital con correa de silicona en color rosa y caja de acero TOUS B-Time","<p>Reloj digital TOUS B-Time con correa de silicona en color rosa y caja de acero inoxidable. Esfera: metálica / pantalla cristal líquido (LCD) con luz. Diámetro caja: 33,5mm x 33,5mm. Funciones: hora en 12 o 24 horas, minutos, segundos, día, mes i día de lasemana, señal horaria, cronógrafo 1/100 segundos, cuenta atrás y 5 alarmas. Impermeable a 3 ATM. Batería: 3V litio CR2025 / 2,5 gramos (litio 0,003 gramos). Cierre hebilla.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000131400","1","116","129","https://cloud-media.tous.com/medias/sys_master/images/h83/h8d/13024237584414/1200Wx1200H_product_3000131400_2-20240103100148/1200Wx1200H-product-3000131400-2-20240103100148.jpg"
"rel017","Reloj analógico con brazalete de acero y caja de aluminio en color IPRG rosado TOUS S-Mesh Mirror","<p>Reloj analógico TOUS S-Mesh Mirror con brazalete de acero inoxidable y esfera en acero IPRG rosado. Esfera metal latón con efecto espejo. Dimensiones caja: 36 mm. Funciones: hora, minutos y segundos. Impermeable a 5 ATM. Batería: 1,55V Oxido de plata SR621SW / 0,25 gramos. Cristal: mineral facetado plano redondo. Movimiento analógico de cuarzo japonés. Cierre de malla milanesa con cierre de seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000132160","1","170","189","https://cloud-media.tous.com/medias/sys_master/images/he2/h85/13024258097182/1200Wx1200H_product_3000132100-20240103100153/1200Wx1200H-product-3000132100-20240103100153.jpg"
"rel017","Reloj analógico con brazalete de acero y caja de aluminio en color IPRG rosado TOUS S-Mesh Mirror","<p>Reloj analógico TOUS S-Mesh Mirror con brazalete de acero inoxidable y esfera en acero IPRG rosado. Esfera metal latón con efecto espejo. Dimensiones caja: 36 mm. Funciones: hora, minutos y segundos. Impermeable a 5 ATM. Batería: 1,55V Oxido de plata SR621SW / 0,25 gramos. Cristal: mineral facetado plano redondo. Movimiento analógico de cuarzo japonés. Cierre de malla milanesa con cierre de seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000132160","1","170","189","https://cloud-media.tous.com/medias/sys_master/images/hf2/hf2/13072186671134/1200Wx1200H_product_3000132100_2-20240118180140/1200Wx1200H-product-3000132100-2-20240118180140.jpg"
"rel018","Reloj analógico con acero IPRG rosa y brazalete de acero Karat Squared","<p>Reloj analógico TOUS Karat Squared de acero IPRG rosa con brazalete de acero 316L, dimensiones 32 x 40 mm y esfera de metal con cristales facetados en los índices. Funciones: hora y minutos. Impermeable a 3 ATM. Batería: 1,55V Oxido de plata SR626SW/0,3 gramos. Cristal mineral facetado plano cuadrado. Movimiento cuarzo japonés. Cierre de malla milanesa con seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","300358060","1","170","189","https://cloud-media.tous.com/medias/sys_master/images/h12/h2c/12492763562014/1200Wx1200H_product_300358060-20230712180037/1200Wx1200H-product-300358060-20230712180037.jpg"
"rel018","Reloj analógico con acero IPRG rosa y brazalete de acero Karat Squared","<p>Reloj analógico TOUS Karat Squared de acero IPRG rosa con brazalete de acero 316L, dimensiones 32 x 40 mm y esfera de metal con cristales facetados en los índices. Funciones: hora y minutos. Impermeable a 3 ATM. Batería: 1,55V Oxido de plata SR626SW/0,3 gramos. Cristal mineral facetado plano cuadrado. Movimiento cuarzo japonés. Cierre de malla milanesa con seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","300358060","1","170","189","https://cloud-media.tous.com/medias/sys_master/images/h43/h41/12492764676126/515Wx515H_product_300358060_2-20230712180038/515Wx515H-product-300358060-2-20230712180038.jpg"
"rel019","Reloj smartwatch con brazalete de acero IP iridiscente D-Connect","<p>La declinación inteligente de nuestro best-seller D-LOGO. Diferentes acabados que te ayudarán a crear tu total look más personal. Como novedad, presentamos el acabado iridiscente y esferas personalizables con tu Avatar.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000135500","1","179","199","https://cloud-media.tous.com/medias/sys_master/images/hd1/hba/13620287078430/1200Wx1200H_product_3000135500-20240805140148/1200Wx1200H-product-3000135500-20240805140148.jpg"
"rel019","Reloj smartwatch con brazalete de acero IP iridiscente D-Connect","<p>La declinación inteligente de nuestro best-seller D-LOGO. Diferentes acabados que te ayudarán a crear tu total look más personal. Como novedad, presentamos el acabado iridiscente y esferas personalizables con tu Avatar.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000135500","1","179","199","https://cloud-media.tous.com/medias/sys_master/images/h59/h47/13620288323614/515Wx515H_product_3000135500_2-20240805140148/515Wx515H-product-3000135500-2-20240805140148.jpg"
"rel020","Reloj analógico Heritage de acero IP dorado","<p>Acero IP dorado</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","900350400","1","179","199","https://cloud-media.tous.com/medias/sys_master/images/h74/h02/13240661803038/515Wx515H_product_900350400-20240314180120/515Wx515H-product-900350400-20240314180120.jpg"
